threshold,accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,flagged_total
0.4,0.69,0.620253164556962,0.98,0.7596899224806202,40,60,2,98,158
0.45,0.725,0.6666666666666666,0.9,0.7659574468085106,55,45,10,90,135
0.5,0.73,0.6982758620689655,0.81,0.75,65,35,19,81,116
0.55,0.7,0.7380952380952381,0.62,0.6739130434782609,78,22,38,62,84
0.6,0.68,0.8103448275862069,0.47,0.5949367088607594,89,11,53,47,58
0.65,0.635,0.8857142857142857,0.31,0.45925925925925926,96,4,69,31,35
0.7,0.53,0.875,0.07,0.12962962962962962,99,1,93,7,8
